confidence,abs_error
0.408562,11.9125
0.419912,17.1853
0.427731,14.8123
0.433751,11.973
0.438298,17.6905
0.439174,10.0358
0.442826,5.12223
0.44657,8.69483
0.447246,3.09758
0.447845,22.695
0.448546,3.09637
0.449061,5.32006
0.45174,5.2293
0.453407,5.08379
0.454456,7.3388
0.454941,6.95096
0.455883,7.06501
0.455887,0.0943947
0.456322,10.5874
0.456923,4.82121
0.457183,11.4607
0.457599,11.5815
0.457744,12.1349
0.45854,6.46743
0.459238,4.87661
0.45982,2.79497
0.461988,5.27457
0.462005,0.968881
0.462033,3.74316
0.462126,2.46494
0.462505,5.89355
0.462661,2.45641
0.463231,8.20714
0.463745,2.48672
0.46449,1.19139
0.46477,2.76123
0.465208,6.51405
0.466719,5.25172
0.466738,5.3884
0.467074,15.1648
0.467373,3.71671
0.46859,11.876
0.468714,10.1671
0.468742,3.95044
0.468962,4.64104
0.469478,5.13783
0.4697,9.92931
0.470449,6.56095
0.470818,8.53775
0.470968,14.2316
0.471004,1.32558
0.471526,0.184652
0.471548,0.575559
0.471559,4.12572
0.472272,0.387326
0.472751,3.63753
0.472768,1.7891
0.472915,4.74257
0.472921,5.60729
0.473156,2.67634
0.473158,4.25889
0.473368,10.4933
0.473626,2.18878
0.473915,5.36372
0.473931,7.18855
0.474106,0.412536
0.474178,4.26211
0.474523,10.0315
0.474552,0.0867518
0.474733,2.92413
0.474783,1.34628
0.474821,3.10784
0.474857,5.66991
0.475426,2.15841
0.475695,5.052
0.475927,0.0528764
0.475943,1.91042
0.476065,2.97235
0.4768,2.51166
0.47713,6.88443
0.477619,0.828625
0.477938,3.15245
0.477988,5.02441
0.478108,0.0568558
0.478316,1.86024
0.478779,6.18389
0.47878,5.65982
0.478867,0.532793
0.47887,10.2958
0.478988,4.04599
0.479037,2.56603
0.479213,10.7336
0.479508,4.94339
0.479614,2.7378
0.479728,9.66792
0.479979,0.428451
0.480089,3.04015
0.480391,1.3839
0.48058,10.8888
0.48075,5.42268
0.480825,3.45682
0.480844,6.84181
0.480936,1.46039
0.480976,0.0961966
0.481055,3.44866
0.4812,2.72955
0.481305,6.81784
0.481306,1.16049
0.481624,3.56239
0.482019,1.24954
0.482063,6.15778
0.482072,14.1631
0.48241,5.50507
0.482538,3.89363
0.483084,1.41555
0.483356,3.20522
0.483402,0.433686
0.483416,12.0013
0.483947,2.22876
0.483952,2.04882
0.484155,2.63788
0.484188,0.155918
0.484309,3.88435
0.484589,6.59888
0.484934,0.0760476
0.484985,2.96267
0.484985,6.18103
0.485111,6.86565
0.485648,1.37934
0.485693,7.46527
0.486055,3.94849
0.486129,6.39794
0.486165,2.85266
0.486193,9.12327
0.486273,6.36457
0.486282,12.6982
0.486292,2.77964
0.486615,0.584504
0.486682,6.81959
0.486843,5.91042
0.486879,6.20425
0.487096,6.18128
0.487165,4.75409
0.487238,7.00153
0.487466,5.80536
0.487467,0.95335
0.487493,1.0318
0.487548,6.04437
0.4876,3.61267
0.487842,7.92257
0.487843,2.80235
